trace_id,document_id,chunk_id,document_title,page_number,citation_type,is_visual_source,is_valid,validation_notes,created_at
b79f07e2-bccb-48ae-b0f5-c51bc55693bd,2d5f593e-99cf-4d59-9501-c4ee68262f11,ec3a484f-cf55-413f-a6e0-b3c97657b914,PEDOMAN SPMB JALUR MANDIRI STR RPL 2026,,text,f,t,,2026-07-14 06:20:58.758942+00
b79f07e2-bccb-48ae-b0f5-c51bc55693bd,a57ef227-f21f-4369-933f-15c03d41645c,359337e0-7d08-4c83-af0c-e455743d8c5d,Pedoman SPMB Mandiri Reguler SMA Poltekkes Kemenkes Yogyakarta TA 2026-2027,,text,f,t,,2026-07-14 06:20:58.758942+00
c9cc4d15-ad4b-4404-a95d-6a7ce9bf6e33,7144e2d1-ee71-4d3b-80a6-6b927c3b54ae,e14246b3-cd06-44eb-91b1-b021a8ae46be,Panduan SPMB Jalur Mandiri 2026 (Uji),,text,f,t,,2026-07-14 06:20:40.274307+00
c9cc4d15-ad4b-4404-a95d-6a7ce9bf6e33,603f540c-e34c-418c-8595-b7ad45937431,8c770815-f3af-4fe7-8a8b-4b7f4299285d,Hasil Seleksi Tahap III SPMB Prestasi 2026,,text,f,t,,2026-07-14 06:20:40.274307+00
c9cc4d15-ad4b-4404-a95d-6a7ce9bf6e33,2d5f593e-99cf-4d59-9501-c4ee68262f11,ec3a484f-cf55-413f-a6e0-b3c97657b914,PEDOMAN SPMB JALUR MANDIRI STR RPL 2026,,text,f,t,,2026-07-14 06:20:40.274307+00
c9cc4d15-ad4b-4404-a95d-6a7ce9bf6e33,d53cdd48-fcba-4744-8460-81adc4e72d8c,3c541d2d-ecac-4238-960b-6eb053fd16c7,2562 PENGUMUMAN TAHAP I SPMB BERSAMA TA 2026-2027,,text,f,t,,2026-07-14 06:20:40.274307+00
d3d42a01-553d-49f6-97c3-a92511980a87,d1d5ab22-49c7-4087-8b86-af4341d7d0cb,ecbc57d0-3b97-4761-9fc1-1adf6f706f77,Risk Flag Test,,text,f,t,,2026-07-14 06:20:33.482455+00
d7ef04ec-7e01-4aa0-8bf9-0e81d1fbb03e,603f540c-e34c-418c-8595-b7ad45937431,8c770815-f3af-4fe7-8a8b-4b7f4299285d,Hasil Seleksi Tahap III SPMB Prestasi 2026,,text,f,t,,2026-07-14 06:17:49.843555+00
d7ef04ec-7e01-4aa0-8bf9-0e81d1fbb03e,913914f2-929b-4856-aae1-a230080421c3,0642676e-bcfd-49c8-bcf3-6047687d36bc,4265 Hasil Seleksi Tahap II Akhir Cadangan 4 SPMB Bersama,,text,f,t,,2026-07-14 06:17:49.843555+00
d7ef04ec-7e01-4aa0-8bf9-0e81d1fbb03e,acd7335a-936e-4875-9fa0-179bac1d0130,76414c29-2f7b-46a6-910c-298257488bab,Hasil Tahap III Pemanggilan Cadangan SPMB Prestasi Tahun Akademik 2026-2027,,text,f,t,,2026-07-14 06:17:49.843555+00
