id,run_name,config_name,run_type,total_questions,completed_questions,status,started_at,finished_at,created_by,notes,created_at
0cb066c7-1767-49bd-bd89-954f6c6133ec,refresh_20260727b_gates_none,gates_none,full,41,41,completed,2026-07-27 08:00:35.094508+00,2026-07-27 08:05:07.827388+00,,,2026-07-27 08:00:35.138263+00
f2dcf1b3-5408-4d73-a8e3-694251b7bd68,refresh_20260727b_gates_1,gates_1,full,41,41,completed,2026-07-27 08:05:21.989172+00,2026-07-27 08:08:27.928497+00,,,2026-07-27 08:05:22.0371+00
5e772983-5afa-49e6-8258-628b324cfc87,refresh_20260727b_gates_1_2,gates_1_2,full,41,41,completed,2026-07-27 08:08:41.975158+00,2026-07-27 08:11:48.853383+00,,,2026-07-27 08:08:42.020851+00
aa2b5704-6809-42e4-b8b5-7c0cd98ec492,refresh_20260727b_gates_1_2_3,gates_1_2_3,full,41,41,completed,2026-07-27 08:12:03.185187+00,2026-07-27 08:15:26.500629+00,,,2026-07-27 08:12:03.233113+00
ba38fbd6-9d4a-4320-9589-e7001746d9a7,refresh_20260727b_gates_1_2_3_4,gates_1_2_3_4,full,41,41,completed,2026-07-27 08:15:40.362418+00,2026-07-27 08:19:08.036861+00,,,2026-07-27 08:15:40.407037+00
33110fba-9f2c-4ec7-862b-f2c7e93ed97b,refresh_20260727b_gates_all_minus_1,gates_all_minus_1,full,41,41,completed,2026-07-27 08:19:22.147286+00,2026-07-27 08:23:37.155639+00,,,2026-07-27 08:19:22.199799+00
b2600b62-91ac-4246-ac25-2b7283915409,refresh_20260727b_gates_all_minus_2,gates_all_minus_2,full,41,41,completed,2026-07-27 08:23:50.787385+00,2026-07-27 08:27:05.90037+00,,,2026-07-27 08:23:50.827998+00
7f51ad8b-8de6-4a34-9d2c-0846836686df,refresh_20260727b_gates_all_minus_3,gates_all_minus_3,full,41,41,completed,2026-07-27 08:27:19.776142+00,2026-07-27 08:29:59.586163+00,,,2026-07-27 08:27:19.819245+00
dde2ab1f-7947-4c88-9465-fdb95590b371,refresh_20260727b_gates_all_minus_4,gates_all_minus_4,full,41,41,completed,2026-07-27 08:30:14.012531+00,2026-07-27 08:32:33.610653+00,,,2026-07-27 08:30:14.060282+00
843c1cf2-95fc-419c-a712-ac7d4c3b9e2a,refresh_20260727b_gates_all,gates_all,full,41,41,completed,2026-07-27 08:32:47.226042+00,2026-07-27 08:35:07.224839+00,,,2026-07-27 08:32:47.271192+00
be172fe6-72f5-4327-a2b2-855fa204d598,refresh_20260727b_41q_graph_on,gates_all,full,41,41,completed,2026-07-27 08:35:20.822514+00,2026-07-27 08:37:40.446819+00,,,2026-07-27 08:35:20.861884+00
5929f294-71fc-4f6c-aa1c-2d06733486cf,refresh_20260727b_41q_graph_off,gates_all,full,41,41,completed,2026-07-27 08:37:54.876967+00,2026-07-27 08:40:16.355218+00,,,2026-07-27 08:37:54.917364+00
16a7ac94-908f-4173-8c3e-b64b9174b63b,refresh_20260727b_mh_graph_on,gates_all,full,6,6,completed,2026-07-27 08:40:30.682678+00,2026-07-27 08:41:04.831797+00,,,2026-07-27 08:40:30.723998+00
3c8e351c-5fea-471d-b6dd-465b734ff06b,refresh_20260727b_mh_graph_off,gates_all,full,6,6,completed,2026-07-27 08:41:18.072663+00,2026-07-27 08:41:51.41155+00,,,2026-07-27 08:41:18.122179+00
