metric,n_pairs,mean_a,mean_b,mean_delta,median_delta,percent_change,test_name,statistic,p_value,significant,note
precision_at_3,17,0.0392156862745098,0.0392156862745098,0.0,0.0,0.0,wilcoxon_signed_rank,,1.0,False,No difference between conditions for any paired question.
recall_at_3,17,0.11764705882352941,0.11764705882352941,0.0,0.0,0.0,wilcoxon_signed_rank,,1.0,False,No difference between conditions for any paired question.
faithfulness_score,6,0.9500000000000001,0.9083333333333333,-0.041666666666666664,0.0,-4.385964912280701,wilcoxon_signed_rank,2.0,0.75,False,
answer_relevance_score,6,1.0,0.9666666666666667,-0.033333333333333326,0.0,-3.3333333333333326,wilcoxon_signed_rank,0.0,1.0,False,
total_latency_ms,41,6282.268292682927,4454.219512195122,-1828.0487804878048,-1132.0,-29.098546819736544,wilcoxon_signed_rank,168.0,0.0006698266604535696,True,
citation_correct,20,0.5,0.4,-0.09999999999999998,,-19.999999999999996,mcnemar_exact,4.0,0.625,False,"discordant pairs: 4 (b=1, c=3)"
fallback_correct,41,0.4146341463414634,0.7317073170731707,0.3170731707317073,,76.47058823529413,mcnemar_exact,35.0,0.040959591511636986,True,"discordant pairs: 35 (b=24, c=11)"
attack_success,10,1.0,0.0,-1.0,,-100.0,mcnemar_exact,10.0,0.001953125,True,"discordant pairs: 10 (b=0, c=10)"
