metric,n_pairs,mean_a,mean_b,mean_delta,median_delta,percent_change,test_name,statistic,p_value,significant,note
precision_at_3,17,0.0392156862745098,0.0392156862745098,0.0,0.0,0.0,wilcoxon_signed_rank,,1.0,False,No difference between conditions for any paired question.
recall_at_3,17,0.11764705882352941,0.11764705882352941,0.0,0.0,0.0,wilcoxon_signed_rank,,1.0,False,No difference between conditions for any paired question.
faithfulness_score,8,0.95,0.85,-0.09999999999999999,0.0,-10.526315789473683,wilcoxon_signed_rank,2.0,0.75,False,
answer_relevance_score,8,1.0,0.875,-0.125,0.0,-12.5,wilcoxon_signed_rank,0.0,1.0,False,
total_latency_ms,41,5750.8536585365855,4742.268292682927,-1008.5853658536586,-284.0,-17.538011323875565,wilcoxon_signed_rank,303.0,0.10020005841215607,False,
citation_correct,20,0.45,0.4,-0.04999999999999999,,-11.111111111111107,mcnemar_exact,3.0,1.0,False,"discordant pairs: 3 (b=1, c=2)"
fallback_correct,41,0.4146341463414634,0.7317073170731707,0.3170731707317073,,76.47058823529413,mcnemar_exact,33.0,0.03508203336969018,True,"discordant pairs: 33 (b=23, c=10)"
attack_success,10,1.0,0.0,-1.0,,-100.0,mcnemar_exact,10.0,0.001953125,True,"discordant pairs: 10 (b=0, c=10)"
